Date,^SP500TR_pct_from_sma200,SPY_pct_from_sma200,^SPX_pct_from_sma200
2020-02-19 00:00:00+00:00,12.347317500343124,12.281549530609537,11.493854199793606
2020-02-20 00:00:00+00:00,11.833460273995499,11.730711601860055,10.98791072129972
2020-02-21 00:00:00+00:00,10.56943965291708,10.48912938088118,9.738620133236765
2020-02-24 00:00:00+00:00,6.808169877830728,6.7557188553772685,6.0005070858561105
2020-02-25 00:00:00+00:00,3.5241406790173624,3.469314351790076,2.7473452313788504
2020-02-26 00:00:00+00:00,3.0861413210615307,3.041776448635858,2.3196233175894365
2020-02-27 00:00:00+00:00,-1.4804114263237356,-1.619593835702715,-2.225930447461688
2020-02-28 00:00:00+00:00,-2.302521415095349,-2.0603229897790287,-3.0504897751231663
2020-03-02 00:00:00+00:00,2.149680046606761,2.1336853250351284,1.373190825177062
2020-03-03 00:00:00+00:00,-0.746506533489355,-0.8179374277033857,-1.4967234030878296
2020-03-04 00:00:00+00:00,3.3940066373798983,3.297923508734546,2.6148362721546414
2020-03-05 00:00:00+00:00,-0.1293672215245456,-0.1730391392690822,-0.8959151745081662
2020-03-06 00:00:00+00:00,-1.854045721102704,-1.8476328004932263,-2.60325996462184
2020-03-09 00:00:00+00:00,-9.29036009486225,-9.501844147657257,-9.986281295442968
2020-03-10 00:00:00+00:00,-4.823360291964263,-4.835194072367144,-5.549220906504271
2020-03-11 00:00:00+00:00,-9.461602845952843,-9.467780280735482,-10.152417394252977
2020-03-12 00:00:00+00:00,-18.01735621149958,-18.091767187706775,-18.6551718913852
2020-03-13 00:00:00+00:00,-10.371864911722305,-11.082436817907137,-11.090080163836847
2020-03-16 00:00:00+00:00,-21.062386566858006,-20.76608508481882,-21.69338101609991
2020-03-17 00:00:00+00:00,-16.302256961057804,-16.46247882660895,-16.96815460569011
2020-03-18 00:00:00+00:00,-20.600102599732484,-20.65204483474744,-21.22697418386178
2020-03-19 00:00:00+00:00,-20.174375803435606,-20.436058730947092,-20.804893742620344
2020-03-20 00:00:00+00:00,-23.561889723859718,-23.80332017917204,-24.173800322464658
2020-03-23 00:00:00+00:00,-25.731722428649896,-25.682054533146527,-26.321589766140296
2020-03-24 00:00:00+00:00,-18.703777624787588,-18.89623140426795,-19.351941823239493
2020-03-25 00:00:00+00:00,-17.715658383289345,-17.632093319304907,-18.366360871130226
2020-03-26 00:00:00+00:00,-12.54536542019128,-12.790768731790713,-13.234692852867958
2020-03-27 00:00:00+00:00,-15.449983653002198,-15.34708578403804,-16.110764660686982
2020-03-30 00:00:00+00:00,-12.570048066245732,-12.56561331078274,-13.261197772409583
