Ticker,Weight
NVDA,16.91%
TSM,10.64%
AVGO,7.93%
INTC,7.12%
AMD,5.95%
MU,5.46%
TXN,5.02%
ADI,4.44%
LRCX,4.21%
KLAC,4.17%
QCOM,4.04%
AMAT,3.98%
ASML,3.96%
MRVL,2.94%
SNPS,2.37%
CDNS,2.31%
NXPI,1.38%
MPWR,1.34%
TER,1.22%
MCHP,1.11%
STM,1.08%
ARM,0.78%
ON,0.75%
ALAB,0.62%
SWKS,0.20%
