Ticker,Weight
TROW,0.036762
FSLR,0.036651
VRSN,0.036457
ALB,0.036266
EQR,0.036147
VLTO,0.035738
PHM,0.035678
DRI,0.035670
CHD,0.035452
NTAP,0.035408
CPAY,0.035343
WST,0.035101
LH,0.034155
DGX,0.033957
STZ,0.033944
STE,0.033861
WSM,0.033805
EFX,0.033431
KEY,0.032754
EL,0.032376
SW,0.032181
CF,0.031916
WRB,0.031837
LYB,0.031824
PFG,0.031686
TSN,0.031622
PKG,0.031469
SNA,0.031365
CHRW,0.031063
KHC,0.031009
LDOS,0.030978
EVRG,0.030797
HPQ,0.030738
LNT,0.030549
EXPD,0.030434
LUV,0.030363
FTV,0.030315
FFIV,0.030015
DD,0.029922
GIS,0.029888
LEN,0.029580
BR,0.029258
JBHT,0.029117
L,0.028992
IFF,0.028968
CDW,0.028785
VTRS,0.028550
BG,0.028076
DLTR,0.028027
TSCO,0.027808
AMCR,0.027684
GPN,0.027628
WY,0.027535
ESS,0.027460
BRO,0.027417
PTC,0.026864
NVR,0.026815
MRNA,0.026650
ZBH,0.026626
IP,0.026619
LII,0.026545
BALL,0.026539
TRMB,0.026353
SATS,0.026244
INCY,0.026137
INVH,0.026108
IEX,0.026074
KIM,0.025734
ROL,0.025686
LVS,0.025491
TXT,0.025478
J,0.025209
MAA,0.024622
AKAM,0.024559
CSGP,0.024408
NDSN,0.024263
APA,0.024219
GNRC,0.024206
GPC,0.023254
HII,0.023006
CHTR,0.022929
TYL,0.022886
EG,0.022732
SMCI,0.022724
LULU,0.022611
MAS,0.022388
DECK,0.022298
RL,0.022184
HST,0.021594
REG,0.021116
PNR,0.020500
APTV,0.020369
HAS,0.020233
AVY,0.020159
FOXA,0.020087
TKO,0.020041
PNW,0.019940
MKC,0.019758
GL,0.019534
PODD,0.019524
GDDY,0.019391
COO,0.019380
SWK,0.018924
AIZ,0.018800
IVZ,0.018683
ALGN,0.018625
ALLE,0.018520
BBY,0.018301
DOC,0.018210
JKHY,0.017941
UDR,0.017919
GEN,0.017828
ZBRA,0.017648
CPT,0.017487
TTD,0.017246
SWKS,0.016997
CLX,0.016981
SJM,0.016933
DPZ,0.016716
IT,0.016697
AES,0.016669
SOLV,0.016233
RVTY,0.015783
NWSA,0.015697
BEN,0.015045
UHS,0.014745
FRT,0.014578
